id;status_code;description;created_by;created_date;last_modified_by;last_modified_date
1;DRAFT;The invoice is in draft mode and has not been finalized;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
2;ACTIVE;The invoice is active and likely awaiting further action;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
3;SENT;The invoice has been sent to the recipient;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
4;DISPUTED;The invoice is being disputed by the recipient;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
5;OVERDUE;The invoice is overdue for payment;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
6;PARTIAL;A partial payment has been made on the invoice;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
7;PAID;The invoice has been fully paid;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
8;VOID;The invoice has been voided and is no longer valid;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
9;DEBT;The invoice represents a debt that is owed;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
10;RESERVED;The invoice is reserved for a specific purpose or future action;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
