id;status_code;description;created_by;created_date;last_modified_by;last_modified_date
1;PENDING;The order has been created but not yet confirmed;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
2;CONFIRMED;The order has been confirmed by the manager and is ready for processing;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
3;PROCESSING;The order is currently being processed in the warehouse;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
4;WAITING_FOR_ACTION;The order is waiting for some action to be taken, possibly by the manager;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
5;SHIPPED;The order has been shipped to the customer;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
6;DELIVERED;The order has been delivered to the customer;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
7;CANCELLED;The order has been cancelled;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
8;RETURNED;The order has been returned by the customer;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
9;ON_HOLD;The order is on hold, possibly due to an issue or pending further information;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
10;FAILED_DELIVERY_ATTEMPT;An attempt to deliver the order failed;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
11;REFUNDED;The order has been refunded;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
12;PARTIALLY_SHIPPED;Part of the order has been shipped;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
13;PARTIALLY_DELIVERED;Part of the order has been delivered;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
14;AWAITING_PAYMENT;The order is awaiting payment before it can be processed further;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
