id;status_code;description;created_by;created_date;last_modified_by;last_modified_date
1;PENDING;The shipment is pending and has not been processed yet;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
2;PROCESSED;The shipment has been processed and is ready for further handling or transportation;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
3;SHIPPED;The shipment has been shipped and is in transit to its destination;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
4;IN_TRANSIT;The shipment is currently in transit and is being transported to its destination;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
5;OUT_FOR_DELIVERY;The shipment is out for delivery and is expected to be delivered to the recipient soon;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
6;DELIVERED;The shipment has been successfully delivered to the recipient;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
7;FAILED_DELIVERY_ATTEMPT;There was a failed attempt to deliver the shipment to the recipient;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
8;RETURNED;The shipment has been returned to the sender or the original location;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
9;CANCELLED;The shipment has been cancelled and will not be delivered;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
10;ON_HOLD;The shipment is currently on hold and will not be processed or delivered until further notice;SYSTEM;1970-01-01T00:00:00;SYSTEM;1970-01-01T00:00:00
