id;name;hex_code;created_by;created_date;last_modified_by;last_modified_date
80a61058-5c87-44a0-bd0e-1bdcf2e1173e;babyish;"#FB742c";infuriate;2024-07-04T08:21:39;through ew toot;2024-07-03T13:39:11
2674004c-7acf-4281-921d-f5fc17830d70;warmly indeed;"#abc";psst vacuum herald;2024-07-04T10:00:01;indeed so;2024-07-04T01:49:30
bc606eb2-f89d-485e-ae2d-7a9d5cab11a7;buoyant among robust;"#7B9C10";verbally;2024-07-04T04:05:00;before aha;2024-07-04T03:40:05
0b9d3537-e97a-4770-9cf3-b5585a547730;lest ouch;"#b9C1b3";shin indeed;2024-07-04T05:26:32;geez;2024-07-03T20:36:57
4eae4a2f-11e3-4833-b9ab-67e25b015f0a;unto briefly;"#38b";where into;2024-07-03T13:43:45;selfishly if;2024-07-04T02:15:44
9c8ec534-8bd7-4a3f-88c7-c07c34150095;coalesce;"#C0B";peony;2024-07-03T12:30:49;investigator ouch;2024-07-04T09:43:15
dd3933c4-8449-482d-b34c-cf41e124f610;though;"#FbAC2d";academic;2024-07-04T05:24:35;whoever so wonderfully;2024-07-04T04:40:14
13d0b168-6cc5-4939-9abd-2cfb74e621ef;whose shakily woefully;"#E31CaC";ah;2024-07-04T01:05:39;resource mandate;2024-07-03T12:18:31
3e7ea695-1ff9-41b3-bce4-37065cb4d2a9;above oof;"#eb52b4";ultimately impeccable rebuff;2024-07-04T00:00:57;outpace mobile especially;2024-07-03T16:00:56
704e4274-89b3-47ef-9344-28c2b9f290f9;roasted;"#cDD22C";furiously potentially inconsequential;2024-07-04T08:31:19;bah hmph bubbly;2024-07-03T12:19:54
