id;rating;content;created_by;created_date;last_modified_by;last_modified_date;user_id;product_id
07cab759-4dea-48f3-a182-3287fb845eb5;4;hm ugh;modulo woot genetics;2024-08-21T00:30:13;propose untried excluding;2024-08-20T13:00:08;1;8ae32091-f316-46ab-8d94-4f610013a08a
f6f0c714-f19d-44fd-bf7f-623247281af5;3;dazzle handsome;palace;2024-08-20T22:16:33;if underneath;2024-08-21T03:36:53;2;04f50ef1-72f6-480e-aca7-463f8d2d149b
3a88aa09-fe11-4fae-af74-c243f1e4bc49;3;preparation bare;anti modest;2024-08-20T14:10:07;awkwardly beside knobby;2024-08-21T05:08:40;1;3b46c9b4-2ad9-411c-8d46-837b5f15b35f
7fca123e-c051-43be-88ab-729fcde27d58;2;that;phooey uh-huh tape;2024-08-20T19:44:17;absentmindedly;2024-08-21T00:10:24;2;7fdde84b-00b5-4e96-8bef-4c9d54d43f81
0c04d694-6d0d-4c81-9223-5c38e942460e;1;coconut until till;whispered whack identical;2024-08-20T17:01:02;ethical;2024-08-21T04:21:32;1;f54bca8c-111b-4f09-8f59-d03ef3d40414
b3c26ed6-1bc0-4287-b2de-0d3e7944a734;5;the gah;knowingly wonderfully beside;2024-08-21T07:47:22;boohoo old-fashioned;2024-08-20T10:51:51;1;327bd3f8-9a79-4bec-aa20-776d17077a5e
91686c5e-bbdb-433f-a3e4-86e611d2b8d1;2;mention;or naming daily;2024-08-20T09:37:30;skin fasten;2024-08-20T22:10:04;1;0398169f-bb53-4664-a48a-4f92343629ae
8401c250-fb08-4584-8478-7aa085cbf717;5;utilized;triumphantly under;2024-08-20T21:45:52;yuck the if;2024-08-20T13:43:29;2;ee315759-7b5d-4dd7-acee-a0addce8a4a9
cc77fae9-ec42-4fa8-9303-37bd63cce880;1;till fuzzy abhor;under;2024-08-20T14:06:34;since envisage highly;2024-08-20T23:30:26;1;1d88d8a8-6872-45e1-a64d-641f9e2ec1c0
fb14146d-42d5-4e25-ab55-5efb8fa185b6;1;duh;after;2024-08-20T19:12:40;phew;2024-08-21T02:47:03;1;9e6cd99d-21dd-4eee-854c-38cd7631915e
