id;type;note;created_by;created_date;last_modified_by;last_modified_date;status_id;root_order_id
ed197512-30c5-4854-a9e6-07e9000f9526;RETURN;unto oh;cumbersome;2024-08-25T19:40:00;quarterly giant across;2024-08-26T06:09:24;1;ca49b61c-6d77-472d-8cc6-690bfff04cb1
3e0d6336-0367-4bd1-a01c-891081432147;RETURN;near;yuck;2024-08-26T06:10:35;angrily exotic;2024-08-25T12:16:48;2;2c0a7379-434f-4c7e-903a-da8bf26185a7
3cfc2463-bf68-4edf-b03c-bfb3f9ef0bc8;RETURN;woot fir circle;atop sleepily furthermore;2024-08-26T00:00:54;yowza along languish;2024-08-25T15:33:51;3;43d84708-5cfa-482e-b018-005c3d45f6cd
a7f3e960-0126-4db8-9235-461560f8930c;RETURN;pub provided;though hm;2024-08-25T22:17:18;husky;2024-08-25T15:56:21;4;72296b2a-bb2e-4486-b68e-f52e2aa0eb3a
b58764f3-072e-4ca4-b5a6-ef4fc4c62ff5;RETURN;frilly;officially;2024-08-25T14:04:34;indemnify;2024-08-25T14:09:24;5;2fd13675-1c23-46a9-8fed-0f8dc2a779d9
14882601-3878-4ac6-bb3b-8b09d0230d22;EXCHANGE;right migrate victorious;pro glass;2024-08-26T02:45:47;noisy steak;2024-08-25T21:32:55;6;482a63a5-6f83-4dba-9440-5ba398d8b307
495daf61-b35b-4682-a2bf-0a5a4f8b0f94;EXCHANGE;lucky fly;why;2024-08-25T21:28:04;mist yearningly;2024-08-25T22:35:42;7;e876f977-9631-40d2-9188-5abc2aabac3f
0d50285e-eb2f-43d9-b106-1459d0e7d78e;SALE;questioningly;gratefully;2024-08-25T10:00:37;ew awesome;2024-08-25T18:03:09;8;f6c07cd3-876b-4121-a25d-ff321b252a21
5b88d78f-53fd-4531-861e-ef0ed96578c9;SALE;impressive;furthermore;2024-08-26T03:50:37;popular sheer victimize;2024-08-25T16:45:21;9;3aa2b3a4-daea-43d4-a69e-091647527b40
e94b6730-0390-451e-8e14-ed930c8e7e26;OTHER;palpate cruel nightmare;chopsticks;2024-08-25T17:36:37;towards;2024-08-25T20:53:17;10;5a99072d-dab2-4a21-a623-3a02d32a34d1
