id;qty;note;created_by;created_date;last_modified_by;last_modified_date;order_item_id
e472e88d-444f-4f66-b50e-49a45183c218;7666;ostrich between aw;soundproof;2024-08-25T13:57:06;reunify;2024-08-25T21:57:31;a37737c5-b577-4ddd-aa3f-2fd0ee505fba
730cb5d9-bacf-41fb-be92-f26d1c30a078;5435;of afterwards;sadly wander blah;2024-08-25T16:45:48;whenever scow psst;2024-08-25T22:12:36;b13b3b76-d55a-40c6-85e5-1a5c54ebb372
823aa0d2-87ae-4238-b7c8-ce87f60d6a78;3656;can fast;however impartial heavily;2024-08-25T23:45:05;verifiable who;2024-08-25T11:47:28;d947a644-feca-4012-8ad3-8a7d09cb52f0
7f607d83-40b2-4dce-b05e-2a4a46013421;23595;mindless;neatly;2024-08-25T18:40:25;thin double egg;2024-08-26T07:03:55;806adff4-accc-4c67-a888-75a94c7aa1be
5747db74-a5f5-4f09-9891-dafd68808773;13628;barring phosphate woot;physically owner chief;2024-08-25T20:41:39;parameter who jaggedly;2024-08-25T13:57:29;0c90a5c8-2e4d-4cb2-9aca-e64a50f086ba
66f3f3a7-a8df-4fc5-8cd1-3c2ddb0f5c5c;7920;lifestyle quirkily;bunker ick ultimately;2024-08-25T14:43:07;incidentally another reduction;2024-08-25T16:33:44;70748a02-6d89-4631-ac7d-f22c64e82400
92e093cc-f415-4708-9b67-c3754e513a52;15399;impeccable now;but worth eek;2024-08-25T17:35:07;crossly;2024-08-25T15:17:02;5ef65e81-dd96-4120-aa8a-c0dc997d3174
914a47fc-d5c3-445b-90c2-123a45f6fc12;28310;near how since;savor gadzooks eek;2024-08-25T22:33:33;cauliflower closely;2024-08-26T06:07:15;7a5ca0a4-681b-4bc8-9ff1-8244f2f471c2
8a56b168-9d17-4a55-942d-1e336e746155;23374;signal besmirch harp;reproachfully shoot;2024-08-25T21:53:28;yahoo kissingly now;2024-08-25T16:11:14;a903840c-4236-4a4f-80ca-40ca17dc8781
66c3bf82-14f5-4c77-a43e-6df8d2e3f853;11768;wrongly;mmm defiantly even;2024-08-26T05:14:26;cheerful unto openly;2024-08-25T21:07:33;1e7b401b-336b-425c-92e3-f42698a7008f
