id;total_amount;type;payment_method;note;created_by;created_date;last_modified_by;last_modified_date;status_id;order_id
1844538c-133b-4814-b96a-396b595d9ddd;24983.29;PRO_FORMA;CASH;rhubarb instead;generally;2024-08-20T10:49:43;mind;2024-08-21T01:02:21;1;ca49b61c-6d77-472d-8cc6-690bfff04cb1
8f0f3914-d39e-4b04-98e4-f827534bda0a;19322.52;FINAL;PREPAID_CARD;instead yellowish;bah victoriously jewel;2024-08-21T05:01:28;growling ancient animated;2024-08-21T03:42:11;2;434fc7e0-3ada-48bf-a261-85a77bb38f38
acaaba8a-34c4-43c1-be47-8636ee46d57e;11679.11;FINAL;OTHER;outlet boastfully stoop;shocked;2024-08-21T08:01:23;beyond but;2024-08-21T07:43:20;3;18005c3d-45f6-4cdc-b3fe-cc4f95ae3c5c
bfac676b-ce58-455f-b071-e2bd935b38f8;9562.12;PRO_FORMA;CREDIT_CARD;unlike sternly;outlying conversion mailbox;2024-08-20T23:27:17;stud firsthand;2024-08-20T20:35:59;4;075d24ab-36c3-4fb4-a6d4-0524b8e1f2c0
92af825f-dd51-49a5-91ee-d2d628b2a6d2;19753.21;MIXED;CHECK;true;forenenst hostess;2024-08-21T03:31:44;astride how judgementally;2024-08-21T07:14:52;5;f47a759d-3690-4d91-a4f1-6aa9f150b654
0d860fe0-5885-4c8a-9c96-4ef34364fa72;28040.65;RECURRING;PREPAID_CARD;sow yuck;phew;2024-08-20T17:34:44;lead powerfully cue;2024-08-21T05:04:28;6;5882088b-052b-46ed-81c1-80249d590fe6
b720d9fc-22ac-4999-9173-5b7bb83b99bd;1674.24;RECURRING;OTHER;weakly hm;vacant watercress beneath;2024-08-20T12:32:18;skeletal zowie ouch;2024-08-20T09:49:45;7;f6a0bdce-501d-462e-9424-d27e703ff6c0
af714433-75ef-4a20-b906-e1ca703933b9;30039.92;COMMERCIAL;DEBIT_CARD;whoa delirious;unnaturally failing infatuated;2024-08-20T15:55:41;yet;2024-08-20T16:16:09;8;c6b306ee-d6a9-43a7-9d48-2a4fa64d4bd1
3bce956c-4f3c-4b4c-85a8-18546556f75d;29138.96;DEBIT;OTHER;edible including porter;dearly terrorize always;2024-08-20T22:21:52;shield;2024-08-20T22:17:31;9;36204fe9-ae5a-4990-872d-dab2a216233a
82932961-1cd7-4e88-b07f-2f88ef243ca0;21052.31;PAST_DUE;GIFT_CARD;wisely;indeed derive;2024-08-20T09:42:10;lysine down;2024-08-20T17:39:15;10;ea568830-04a9-4ec0-a644-f3b2cd93bd8e
