id;type;priority;note;other_info;created_by;created_date;last_modified_by;last_modified_date;customer_id;status_id
ca49b61c-6d77-472d-8cc6-690bfff04cb1;SALE;2;beside handmaiden smile;wherever amused;miaow snappy secondary;2024-08-20T14:58:42;internal crest;2024-08-20T10:34:12;1;1
2c0a7379-434f-4c7e-903a-da8bf26185a7;TRANSFER;74;explorer;where valiantly;since brr phew;2024-08-20T19:32:01;brr joshingly different;2024-08-20T15:36:20;2;2
43d84708-5cfa-482e-b018-005c3d45f6cd;RETURN;95;though verifiable for;blossom;cumbersome profitable;2024-08-21T01:59:06;stop;2024-08-21T04:56:42;2;3
72296b2a-bb2e-4486-b68e-f52e2aa0eb3a;SALE;50;geometry;fabulous tributary consequently;as sans;2024-08-21T00:12:36;playful mmm;2024-08-20T09:55:09;2;4
2fd13675-1c23-46a9-8fed-0f8dc2a779d9;EXCHANGE;95;enchanting;yieldingly blather;off sight;2024-08-20T10:41:43;honestly;2024-08-20T19:21:37;1;5
482a63a5-6f83-4dba-9440-5ba398d8b307;EXCHANGE;79;custom unless;muster alder;scorch;2024-08-21T06:16:47;newsprint brr;2024-08-20T14:02:56;1;6
e876f977-9631-40d2-9188-5abc2aabac3f;OTHER;68;whoever;wobbly swim um;beyond if;2024-08-21T05:12:44;connection;2024-08-20T09:43:04;1;7
f6c07cd3-876b-4121-a25d-ff321b252a21;OTHER;83;amused whenever;from bah hesitation;er inability within;2024-08-20T17:24:23;footstool as;2024-08-20T14:01:44;2;8
3aa2b3a4-daea-43d4-a69e-091647527b40;EXCHANGE;8;huzzah;pack;uh-huh;2024-08-20T16:41:04;rankle aha off;2024-08-20T10:50:21;1;9
5a99072d-dab2-4a21-a623-3a02d32a34d1;TRANSFER;83;pfft versus slacken;ew;now;2024-08-21T08:32:34;by pish;2024-08-20T16:37:52;1;10
