id;qty;created_by;created_date;last_modified_by;last_modified_date;working_unit_id;product_category_id
2e9da61a-19b5-4e7c-a7bf-35c48015ce1f;11512;mmm whereas;2024-07-03T15:00:18;gadzooks;2024-07-03T19:11:44;4a07f083-1ab9-45a3-b453-6ae665663962;1370ce3f-61f1-46e8-8239-658286eca867
fa09383f-3178-4be8-9db7-6566822be04b;14777;perfectly flub dense;2024-07-04T03:48:58;teenager;2024-07-03T22:38:06;b5e1ac66-258d-479b-804f-06cd6af304db;45741141-83b5-4285-9693-8dd115029e3a
2389f8ba-c0f5-417a-85f2-7108941d4067;23483;gosh;2024-07-03T13:27:10;colleague colonize connote;2024-07-04T06:54:00;ebe32165-2da9-486d-a6a8-cc4c26722dd0;27241b1a-2c47-426c-aaed-f88c8b765789
59fcbddd-e935-4796-91ac-12e6f02512d9;20723;sandy ask so;2024-07-03T13:06:01;beside;2024-07-04T09:12:52;579fc072-21ba-4e05-97f3-88f147ab3f53;88600bd2-998f-41b7-93e7-b68950d58b21
972b58e0-f10b-4bf1-923e-fc1a248d23b7;23352;brr noir;2024-07-03T18:05:16;hoarse since;2024-07-04T09:42:35;a4c1e823-d310-4949-a735-8f0b5299f35e;876473ce-4657-48b8-9f50-2e5fbf075bb3
2dc35bb7-8ef5-4d61-838c-ff23adfd371d;8481;holiday;2024-07-04T02:53:02;oof versus once;2024-07-04T11:13:56;29dabe11-470f-4a37-afa1-a519e77d3526;95548d2d-2b12-403a-81a3-aea2bedcb1dc
96587eae-310d-4931-8286-6ab04cae3d2a;7003;afforest;2024-07-03T14:26:23;cloves tower;2024-07-03T17:01:12;86c26c31-87bc-47ba-b238-6aea8ae2aded;cad50223-ac14-4a0f-89c1-627fa8b3a066
3a0ec042-cc1d-4442-bf13-ef920d71900c;27127;fennel department sailor;2024-07-04T10:45:33;underneath;2024-07-04T06:44:22;1700be9b-0782-4258-9a6f-2645f707451f;06f225f3-b732-4e20-8a12-a4caa76a530b
631e6d2d-3ae2-459f-bca9-c919f29f3ee8;23346;vaguely chant;2024-07-03T14:02:25;although;2024-07-03T18:32:44;94b80078-e44e-4a0d-a47a-a3ee5b841d05;fc3e3463-6b31-49fd-aaf4-aad40be846d6
09383284-b7a0-442d-9ac9-62d3757dd319;19382;in though;2024-07-03T17:37:58;wiggle variable;2024-07-03T18:22:44;b7f06ba0-f91f-4eb2-85e7-8597b4afd330;80e97add-72bf-4526-b90b-3949f961cacc
