id;qty;total;roll_qty;created_by;created_date;last_modified_by;last_modified_date;order_item_id;shipment_id
66832493-1968-4502-9974-ec0635d9bec6;13220;14618.1;7494;the solidly how;2024-08-21T01:40:21;yippee;2024-08-21T01:51:17;a37737c5-b577-4ddd-aa3f-2fd0ee505fba;d0eddb11-0108-45db-9170-414fbc0ea32c
5c01ef71-d721-4f14-a464-75111bf3208d;30575;26840.05;17403;confront arrogantly what;2024-08-21T03:01:26;gee terribly;2024-08-20T09:59:23;b13b3b76-d55a-40c6-85e5-1a5c54ebb372;b7433466-a0a8-4ddc-abb4-fb446ba67e9f
4ae47873-6807-448b-bfe2-42999c55cb3b;6149;8823.33;9116;forthright plumber into;2024-08-20T15:08:13;onto;2024-08-20T15:47:19;d947a644-feca-4012-8ad3-8a7d09cb52f0;55e97f6b-4fde-4743-91fa-e03aea2262d2
c7cd920b-9faf-406f-93d2-2c8325aaf5a8;10778;18593.46;5990;too;2024-08-21T03:04:13;dim pleasing and;2024-08-20T13:59:37;806adff4-accc-4c67-a888-75a94c7aa1be;52ccb239-d23f-48f0-8042-c1a71015cc0f
90fb1f76-22dc-4cba-9e1c-3ea63f4a1767;13136;29501.91;21510;unto tough;2024-08-21T06:06:07;settle acidly;2024-08-21T03:40:28;0c90a5c8-2e4d-4cb2-9aca-e64a50f086ba;703b09f1-8315-4e4e-8827-014f7e9cd581
ec89795d-4d1e-40e4-ae86-7c4cfd569b42;18560;18189.21;12608;procrastinate unnaturally;2024-08-21T05:22:28;gently dollar usefully;2024-08-21T04:32:06;70748a02-6d89-4631-ac7d-f22c64e82400;efddf687-e750-4fbb-a04a-f969a06fb9ea
b10c5835-4d39-4e0a-a842-a68273d37ecb;20709;7718.1;6147;usually nervously;2024-08-20T23:08:02;parcel sedately;2024-08-20T14:49:05;5ef65e81-dd96-4120-aa8a-c0dc997d3174;0b053c6d-c15d-4ea3-98f5-2f674592ce76
2e233c49-629c-423b-8b26-546cdc0e953e;18110;25968.76;13484;messy;2024-08-20T21:19:58;toward transact mislead;2024-08-21T03:40:21;7a5ca0a4-681b-4bc8-9ff1-8244f2f471c2;9f9fd639-7e1b-44f4-8aa6-4b04e4512e67
2fee3538-1280-45a5-aba3-cb8a8509de87;9932;11235.99;22097;before ah;2024-08-21T01:39:12;dull brutalize hence;2024-08-20T18:40:26;a903840c-4236-4a4f-80ca-40ca17dc8781;5a9210c4-0f9e-4107-83fb-bf74323faa4d
d23bf7f8-a436-4912-ab35-f5948a1c009e;4879;23271.59;15171;scandalize uh-huh gee;2024-08-21T03:07:49;heavily ack;2024-08-20T09:53:25;1e7b401b-336b-425c-92e3-f42698a7008f;91e283aa-c7fa-4aea-9fb4-848887d05886
