id;status;note;other_info;created_by;created_date;last_modified_by;last_modified_date;source_working_unit_id;internal_order_id
720e8e90-b6ba-46b0-889a-9bd2893a35c1;COMPLETED;quiver;search to too;effective playfully phooey;2024-08-20T19:29:02;career athwart;2024-08-21T02:00:30;4a07f083-1ab9-45a3-b453-6ae665663962;ed197512-30c5-4854-a9e6-07e9000f9526
5b8ec40c-7da3-439c-8ead-210e146437ae;IN_PROGRESS;upliftingly;bowl;alongside jet;2024-08-20T16:00:06;eek;2024-08-21T06:16:25;b5e1ac66-258d-479b-804f-06cd6af304db;3e0d6336-0367-4bd1-a01c-891081432147
41eb7df1-6b35-4eaa-9360-73db02416558;FAILED;whoever;cylinder revoke;writhing;2024-08-20T18:16:17;deceivingly;2024-08-20T23:25:07;ebe32165-2da9-486d-a6a8-cc4c26722dd0;3cfc2463-bf68-4edf-b03c-bfb3f9ef0bc8
0e7089b1-cb58-4b1b-aa2f-ae9d836ebb79;COMPLETED;foolishly;modernity roughly beside;hence incompatible tightly;2024-08-21T05:31:15;inside;2024-08-20T22:02:34;579fc072-21ba-4e05-97f3-88f147ab3f53;a7f3e960-0126-4db8-9235-461560f8930c
f80bf1af-e505-4eec-aeaf-4f02d91fdadb;COMPLETED;aboard;pinecone gah embargo;whose;2024-08-21T01:54:37;ew vice;2024-08-20T22:26:41;a4c1e823-d310-4949-a735-8f0b5299f35e;b58764f3-072e-4ca4-b5a6-ef4fc4c62ff5
9980efee-d22a-491e-82e0-64e847920861;OTHER;cripple abnormally;shiny over;till an dry;2024-08-20T15:19:48;swift far;2024-08-21T06:44:12;29dabe11-470f-4a37-afa1-a519e77d3526;14882601-3878-4ac6-bb3b-8b09d0230d22
99930d25-ea30-4d6e-8d87-38d40c76e409;PENDING;jaggedly yet chief;helmet;drat ouch;2024-08-21T05:45:27;smear in;2024-08-20T10:38:57;86c26c31-87bc-47ba-b238-6aea8ae2aded;495daf61-b35b-4682-a2bf-0a5a4f8b0f94
d1994046-0299-4abf-99c8-20eba300968b;COMPLETED;state even;sidetrack theory;ah;2024-08-20T15:37:40;fortunately;2024-08-21T08:24:53;1700be9b-0782-4258-9a6f-2645f707451f;0d50285e-eb2f-43d9-b106-1459d0e7d78e
86259f9e-ed11-4bf5-9e80-51e4972c5bf8;PENDING;amid whoever;hesitate;supposing petition glean;2024-08-20T21:56:27;including;2024-08-20T20:22:04;94b80078-e44e-4a0d-a47a-a3ee5b841d05;5b88d78f-53fd-4531-861e-ef0ed96578c9
587d22c4-8a10-4d23-8a84-cfacc6687c4a;CANCELLED;blockade fahrenheit overflow;sleepy righteously hidden;brr farmer;2024-08-20T12:26:56;odd oof mmm;2024-08-20T21:44:04;b7f06ba0-f91f-4eb2-85e7-8597b4afd330;e94b6730-0390-451e-8e14-ed930c8e7e26
